judgmentId,partidipantId,approach,rbase,rv,answer,correctans,rL,rR
24,ie1rxg96,below,0.8,0.73,L,R,0.73,0.8
25,ie1rxg96,below,0.8,0.7,L,L,0.8,0.7
26,ie1rxg96,below,0.8,0.71,L,L,0.8,0.71
27,ie1rxg96,below,0.8,0.72,L,L,0.8,0.72
28,ie1rxg96,below,0.8,0.73,L,R,0.73,0.8
29,ie1rxg96,below,0.8,0.7,R,R,0.7,0.8
30,ie1rxg96,below,0.8,0.71,R,R,0.71,0.8
31,ie1rxg96,below,0.8,0.72,L,R,0.72,0.8
32,ie1rxg96,below,0.8,0.69,R,R,0.69,0.8
33,ie1rxg96,below,0.8,0.7,R,R,0.7,0.8
34,ie1rxg96,below,0.8,0.71,R,R,0.71,0.8
35,ie1rxg96,below,0.8,0.72,R,R,0.72,0.8
36,ie1rxg96,below,0.8,0.73,R,R,0.73,0.8
37,ie1rxg96,below,0.8,0.74,R,R,0.74,0.8
38,ie1rxg96,below,0.8,0.75,R,L,0.8,0.75
39,ie1rxg96,below,0.8,0.72,L,L,0.8,0.72
40,ie1rxg96,below,0.8,0.73,L,L,0.8,0.73
41,ie1rxg96,below,0.8,0.74,L,R,0.74,0.8
42,ie1rxg96,below,0.8,0.71,R,R,0.71,0.8
43,ie1rxg96,below,0.8,0.72,R,L,0.8,0.72
44,ie1rxg96,below,0.8,0.69,L,L,0.8,0.69
45,ie1rxg96,below,0.8,0.7,L,L,0.8,0.7
46,ie1rxg96,below,0.8,0.71,L,R,0.71,0.8
47,ie1rxg96,below,0.8,0.68,L,L,0.8,0.68
48,ie1rxg96,below,0.8,0.69,R,R,0.69,0.8
49,ie1rxg96,below,0.8,0.7,L,L,0.8,0.7
50,ie1rxg96,below,0.8,0.71,R,L,0.8,0.71
1,ie1rxg96,below,0.5,0.4,L,R,0.4,0.5
2,ie1rxg96,below,0.5,0.37,L,L,0.5,0.37
3,ie1rxg96,below,0.5,0.38,L,L,0.5,0.38
4,ie1rxg96,below,0.5,0.39,L,L,0.5,0.39
5,ie1rxg96,below,0.5,0.4,L,L,0.5,0.4
6,ie1rxg96,below,0.5,0.41,L,L,0.5,0.41
7,ie1rxg96,below,0.5,0.42,L,L,0.5,0.42
8,ie1rxg96,below,0.5,0.43,L,R,0.43,0.5
9,ie1rxg96,below,0.5,0.4,R,L,0.5,0.4
10,ie1rxg96,below,0.5,0.37,L,R,0.37,0.5
11,ie1rxg96,below,0.5,0.34,L,L,0.5,0.34
12,ie1rxg96,below,0.5,0.35,L,L,0.5,0.35
13,ie1rxg96,below,0.5,0.36,L,L,0.5,0.36
14,ie1rxg96,below,0.5,0.37,L,R,0.37,0.5
15,ie1rxg96,below,0.5,0.34,R,R,0.34,0.5
16,ie1rxg96,below,0.5,0.35,R,R,0.35,0.5
17,ie1rxg96,below,0.5,0.36,L,L,0.5,0.36
18,ie1rxg96,below,0.5,0.37,L,R,0.37,0.5
19,ie1rxg96,below,0.5,0.34,R,R,0.34,0.5
20,ie1rxg96,below,0.5,0.35,R,R,0.35,0.5
21,ie1rxg96,below,0.5,0.36,R,R,0.36,0.5
22,ie1rxg96,below,0.5,0.37,L,R,0.37,0.5
23,ie1rxg96,below,0.5,0.34,L,L,0.5,0.34
24,ie1rxg96,below,0.5,0.35,L,L,0.5,0.35
25,ie1rxg96,below,0.5,0.36,L,L,0.5,0.36
26,ie1rxg96,below,0.5,0.37,L,L,0.5,0.37
27,ie1rxg96,below,0.5,0.38,L,L,0.5,0.38
28,ie1rxg96,below,0.5,0.39,R,L,0.5,0.39
29,ie1rxg96,below,0.5,0.36,L,R,0.36,0.5
30,ie1rxg96,below,0.5,0.33,L,R,0.33,0.5
31,ie1rxg96,below,0.5,0.3,R,R,0.3,0.5
32,ie1rxg96,below,0.5,0.31,L,L,0.5,0.31
33,ie1rxg96,below,0.5,0.32,L,R,0.32,0.5
34,ie1rxg96,below,0.5,0.29,R,L,0.5,0.29
35,ie1rxg96,below,0.5,0.26,L,R,0.26,0.5
36,ie1rxg96,below,0.5,0.23,L,L,0.5,0.23
37,ie1rxg96,below,0.5,0.24,L,R,0.24,0.5
38,ie1rxg96,below,0.5,0.21,R,R,0.21,0.5
39,ie1rxg96,below,0.5,0.22,L,R,0.22,0.5
40,ie1rxg96,below,0.5,0.19,R,R,0.19,0.5
41,ie1rxg96,below,0.5,0.2,R,L,0.5,0.2
42,ie1rxg96,below,0.5,0.17,L,R,0.17,0.5
43,ie1rxg96,below,0.5,0.14,R,L,0.5,0.14
44,ie1rxg96,below,0.5,0.11,L,L,0.5,0.11
45,ie1rxg96,below,0.5,0.12,R,R,0.12,0.5
46,ie1rxg96,below,0.5,0.13,R,L,0.5,0.13
47,ie1rxg96,below,0.5,0.1,L,L,0.5,0.1
48,ie1rxg96,below,0.5,0.11,L,R,0.11,0.5
49,ie1rxg96,below,0.5,0.08,R,L,0.5,0.08
50,ie1rxg96,below,0.5,0.05,R,L,0.5,0.05
1,ie1rsgqn,below,0.5,0.4,R,L,0.5,0.4
2,ie1rsgqn,below,0.5,0.37,R,R,0.37,0.5
3,ie1rsgqn,below,0.5,0.38,R,R,0.38,0.5
4,ie1rsgqn,below,0.5,0.39,L,L,0.5,0.39
5,ie1rsgqn,below,0.5,0.4,R,R,0.4,0.5
6,ie1rsgqn,below,0.5,0.41,R,R,0.41,0.5
7,ie1rsgqn,below,0.5,0.42,R,R,0.42,0.5
8,ie1rsgqn,below,0.5,0.43,R,L,0.5,0.43
9,ie1rsgqn,below,0.5,0.4,R,R,0.4,0.5
10,ie1rsgqn,below,0.5,0.41,R,R,0.41,0.5
11,ie1rsgqn,below,0.5,0.42,R,L,0.5,0.42
12,ie1rsgqn,below,0.5,0.39,L,L,0.5,0.39
13,ie1rsgqn,below,0.5,0.4,R,L,0.5,0.4
14,ie1rsgqn,below,0.5,0.37,R,R,0.37,0.5
15,ie1rsgqn,below,0.5,0.38,R,L,0.5,0.38
16,ie1rsgqn,below,0.5,0.35,L,L,0.5,0.35
17,ie1rsgqn,below,0.5,0.36,R,R,0.36,0.5
18,ie1rsgqn,below,0.5,0.37,R,R,0.37,0.5
19,ie1rsgqn,below,0.5,0.38,R,R,0.38,0.5
20,ie1rsgqn,below,0.5,0.39,R,L,0.5,0.39
21,ie1rsgqn,below,0.5,0.36,R,R,0.36,0.5
22,ie1rsgqn,below,0.5,0.37,R,L,0.5,0.37
23,ie1rsgqn,below,0.5,0.34,L,L,0.5,0.34
24,ie1rsgqn,below,0.5,0.35,R,L,0.5,0.35
25,ie1rsgqn,below,0.5,0.32,L,L,0.5,0.32
26,ie1rsgqn,below,0.5,0.33,L,L,0.5,0.33
27,ie1rsgqn,below,0.5,0.34,L,L,0.5,0.34
28,ie1rsgqn,below,0.5,0.35,L,R,0.35,0.5
29,ie1rsgqn,below,0.5,0.32,R,R,0.32,0.5
30,ie1rsgqn,below,0.5,0.33,R,R,0.33,0.5
31,ie1rsgqn,below,0.5,0.34,R,R,0.34,0.5
32,ie1rsgqn,below,0.5,0.35,R,R,0.35,0.5
33,ie1rsgqn,below,0.5,0.36,L,R,0.36,0.5
34,ie1rsgqn,below,0.5,0.33,R,L,0.5,0.33
35,ie1rsgqn,below,0.5,0.3,R,R,0.3,0.5
36,ie1rsgqn,below,0.5,0.31,L,L,0.5,0.31
37,ie1rsgqn,below,0.5,0.32,L,L,0.5,0.32
38,ie1rsgqn,below,0.5,0.33,L,L,0.5,0.33
39,ie1rsgqn,below,0.5,0.34,R,L,0.5,0.34
40,ie1rsgqn,below,0.5,0.31,L,L,0.5,0.31
41,ie1rsgqn,below,0.5,0.32,R,R,0.32,0.5
42,ie1rsgqn,below,0.5,0.33,R,R,0.33,0.5
43,ie1rsgqn,below,0.5,0.34,R,L,0.5,0.34
44,ie1rsgqn,below,0.5,0.31,L,L,0.5,0.31
45,ie1rsgqn,below,0.5,0.32,L,L,0.5,0.32
46,ie1rsgqn,below,0.5,0.33,L,L,0.5,0.33
47,ie1rsgqn,below,0.5,0.34,L,R,0.34,0.5
48,ie1rsgqn,below,0.5,0.31,L,R,0.31,0.5
49,ie1rsgqn,below,0.5,0.28,R,L,0.5,0.28
50,ie1rsgqn,below,0.5,0.25,R,R,0.25,0.5
1,ie1rsgqn,above,0.5,0.6,L,R,0.5,0.6
2,ie1rsgqn,above,0.5,0.63,R,L,0.63,0.5
3,ie1rsgqn,above,0.5,0.66,L,L,0.66,0.5
4,ie1rsgqn,above,0.5,0.65,L,L,0.65,0.5
5,ie1rsgqn,above,0.5,0.64,L,R,0.5,0.64
6,ie1rsgqn,above,0.5,0.67,L,L,0.67,0.5
7,ie1rsgqn,above,0.5,0.66,L,L,0.66,0.5
8,ie1rsgqn,above,0.5,0.65,R,R,0.5,0.65
9,ie1rsgqn,above,0.5,0.64,L,L,0.64,0.5
10,ie1rsgqn,above,0.5,0.63,L,L,0.63,0.5
11,ie1rsgqn,above,0.5,0.62,L,R,0.5,0.62
12,ie1rsgqn,above,0.5,0.65,R,R,0.5,0.65
13,ie1rsgqn,above,0.5,0.64,L,L,0.64,0.5
14,ie1rsgqn,above,0.5,0.63,R,R,0.5,0.63
15,ie1rsgqn,above,0.5,0.62,L,L,0.62,0.5
16,ie1rsgqn,above,0.5,0.61,L,L,0.61,0.5
17,ie1rsgqn,above,0.5,0.6,L,L,0.6,0.5
18,ie1rsgqn,above,0.5,0.59,R,R,0.5,0.59
19,ie1rsgqn,above,0.5,0.58,L,L,0.58,0.5
20,ie1rsgqn,above,0.5,0.57,L,L,0.57,0.5
21,ie1rsgqn,above,0.5,0.56,R,R,0.5,0.56
22,ie1rsgqn,above,0.5,0.55,L,L,0.55,0.5
23,ie1rsgqn,above,0.5,0.54,L,L,0.54,0.5
24,ie1rsgqn,above,0.5,0.53,L,L,0.53,0.5
25,ie1rsgqn,above,0.5,0.52,L,R,0.5,0.52
26,ie1rsgqn,above,0.5,0.55,L,L,0.55,0.5
27,ie1rsgqn,above,0.5,0.54,L,R,0.5,0.54
28,ie1rsgqn,above,0.5,0.57,L,L,0.57,0.5
29,ie1rsgqn,above,0.5,0.56,L,L,0.56,0.5
30,ie1rsgqn,above,0.5,0.55,R,L,0.55,0.5
31,ie1rsgqn,above,0.5,0.58,L,R,0.5,0.58
32,ie1rsgqn,above,0.5,0.61,R,R,0.5,0.61
33,ie1rsgqn,above,0.5,0.6,L,R,0.5,0.6
34,ie1rsgqn,above,0.5,0.63,R,R,0.5,0.63
35,ie1rsgqn,above,0.5,0.62,R,L,0.62,0.5
36,ie1rsgqn,above,0.5,0.65,L,R,0.5,0.65
37,ie1rsgqn,above,0.5,0.68,R,R,0.5,0.68
38,ie1rsgqn,above,0.5,0.67,R,L,0.67,0.5
39,ie1rsgqn,above,0.5,0.7,R,R,0.5,0.7
40,ie1rsgqn,above,0.5,0.69,L,L,0.69,0.5
41,ie1rsgqn,above,0.5,0.68,L,L,0.68,0.5
42,ie1rsgqn,above,0.5,0.67,R,R,0.5,0.67
43,ie1rsgqn,above,0.5,0.66,R,R,0.5,0.66
44,ie1rsgqn,above,0.5,0.65,R,R,0.5,0.65
45,ie1rsgqn,above,0.5,0.64,R,R,0.5,0.64
46,ie1rsgqn,above,0.5,0.63,R,R,0.5,0.63
47,ie1rsgqn,above,0.5,0.62,R,R,0.5,0.62
48,ie1rsgqn,above,0.5,0.61,R,L,0.61,0.5
49,ie1rsgqn,above,0.5,0.64,R,L,0.64,0.5
50,ie1rsgqn,above,0.5,0.67,L,R,0.5,0.67
1,ie1rsgqn,above,0.8,0.9,R,R,0.8,0.9
2,ie1rsgqn,above,0.8,0.89,L,R,0.8,0.89
3,ie1rsgqn,above,0.8,0.92,L,L,0.92,0.8
4,ie1rsgqn,above,0.8,0.91,R,R,0.8,0.91
5,ie1rsgqn,above,0.8,0.9,R,R,0.8,0.9
6,ie1rsgqn,above,0.8,0.89,L,R,0.8,0.89
7,ie1rsgqn,above,0.8,0.92,R,L,0.92,0.8
8,ie1rsgqn,above,0.8,0.95,L,L,0.95,0.8
9,ie1rsgqn,above,0.8,0.94,L,L,0.94,0.8
10,ie1rsgqn,above,0.8,0.93,L,R,0.8,0.93
11,ie1rsgqn,above,0.8,0.96,R,R,0.8,0.96
12,ie1rsgqn,above,0.8,0.95,R,R,0.8,0.95
13,ie1rsgqn,above,0.8,0.94,R,R,0.8,0.94
14,ie1rsgqn,above,0.8,0.93,R,R,0.8,0.93
15,ie1rsgqn,above,0.8,0.92,L,R,0.8,0.92
16,ie1rsgqn,above,0.8,0.95,L,L,0.95,0.8
17,ie1rsgqn,above,0.8,0.94,L,L,0.94,0.8
18,ie1rsgqn,above,0.8,0.93,R,R,0.8,0.93
19,ie1rsgqn,above,0.8,0.92,L,L,0.92,0.8
20,ie1rsgqn,above,0.8,0.91,R,R,0.8,0.91
21,ie1rsgqn,above,0.8,0.9,L,L,0.9,0.8
22,ie1rsgqn,above,0.8,0.89,L,L,0.89,0.8
23,ie1rsgqn,above,0.8,0.88,L,L,0.88,0.8
24,ie1rsgqn,above,0.8,0.87,L,L,0.87,0.8
25,ie1rsgqn,above,0.8,0.86,L,R,0.8,0.86
26,ie1rsgqn,above,0.8,0.89,R,R,0.8,0.89
27,ie1rsgqn,above,0.8,0.88,R,R,0.8,0.88
28,ie1rsgqn,above,0.8,0.87,R,R,0.8,0.87
29,ie1rsgqn,above,0.8,0.86,R,R,0.8,0.86
30,ie1rsgqn,above,0.8,0.85,L,R,0.8,0.85
31,ie1rsgqn,above,0.8,0.88,L,L,0.88,0.8
32,ie1rsgqn,above,0.8,0.87,R,L,0.87,0.8
33,ie1rsgqn,above,0.8,0.9,R,R,0.8,0.9
34,ie1rsgqn,above,0.8,0.89,R,L,0.89,0.8
35,ie1rsgqn,above,0.8,0.92,R,R,0.8,0.92
36,ie1rsgqn,above,0.8,0.91,L,L,0.91,0.8
37,ie1rsgqn,above,0.8,0.9,L,L,0.9,0.8
38,ie1rsgqn,above,0.8,0.89,R,L,0.89,0.8
39,ie1rsgqn,above,0.8,0.92,L,L,0.92,0.8
40,ie1rsgqn,above,0.8,0.91,R,R,0.8,0.91
41,ie1rsgqn,above,0.8,0.9,L,L,0.9,0.8
42,ie1rsgqn,above,0.8,0.89,L,L,0.89,0.8
43,ie1rsgqn,above,0.8,0.88,L,L,0.88,0.8
44,ie1rsgqn,above,0.8,0.87,L,L,0.87,0.8
45,ie1rsgqn,above,0.8,0.86,L,L,0.86,0.8
46,ie1rsgqn,above,0.8,0.85,L,R,0.8,0.85
47,ie1rsgqn,above,0.8,0.88,L,L,0.88,0.8
48,ie1rsgqn,above,0.8,0.87,L,L,0.87,0.8
49,ie1rsgqn,above,0.8,0.86,L,R,0.8,0.86
50,ie1rsgqn,above,0.8,0.89,L,R,0.8,0.89
1,ie1rsgqn,below,0.8,0.7,R,R,0.7,0.8
2,ie1rsgqn,below,0.8,0.71,R,R,0.71,0.8
3,ie1rsgqn,below,0.8,0.72,L,L,0.8,0.72
4,ie1rsgqn,below,0.8,0.73,R,L,0.8,0.73
5,ie1rsgqn,below,0.8,0.7,R,L,0.8,0.7
6,ie1rsgqn,below,0.8,0.67,L,L,0.8,0.67
7,ie1rsgqn,below,0.8,0.68,R,R,0.68,0.8
8,ie1rsgqn,below,0.8,0.69,L,L,0.8,0.69
9,ie1rsgqn,below,0.8,0.7,L,L,0.8,0.7
10,ie1rsgqn,below,0.8,0.71,R,R,0.71,0.8
11,ie1rsgqn,below,0.8,0.72,R,L,0.8,0.72
12,ie1rsgqn,below,0.8,0.69,R,L,0.8,0.69
13,ie1rsgqn,below,0.8,0.66,L,L,0.8,0.66
14,ie1rsgqn,below,0.8,0.67,R,R,0.67,0.8
15,ie1rsgqn,below,0.8,0.68,L,L,0.8,0.68
16,ie1rsgqn,below,0.8,0.69,R,R,0.69,0.8
17,ie1rsgqn,below,0.8,0.7,R,R,0.7,0.8
18,ie1rsgqn,below,0.8,0.71,R,R,0.71,0.8
19,ie1rsgqn,below,0.8,0.72,R,L,0.8,0.72
20,ie1rsgqn,below,0.8,0.69,L,L,0.8,0.69
21,ie1rsgqn,below,0.8,0.7,R,R,0.7,0.8
22,ie1rsgqn,below,0.8,0.71,R,L,0.8,0.71
23,ie1rsgqn,below,0.8,0.68,L,L,0.8,0.68
24,ie1rsgqn,below,0.8,0.69,L,L,0.8,0.69
25,ie1rsgqn,below,0.8,0.7,R,R,0.7,0.8
26,ie1rsgqn,below,0.8,0.71,R,R,0.71,0.8
27,ie1rsgqn,below,0.8,0.72,R,L,0.8,0.72
28,ie1rsgqn,below,0.8,0.69,R,R,0.69,0.8
29,ie1rsgqn,below,0.8,0.7,R,R,0.7,0.8
30,ie1rsgqn,below,0.8,0.71,R,R,0.71,0.8
31,ie1rsgqn,below,0.8,0.72,R,R,0.72,0.8
32,ie1rsgqn,below,0.8,0.73,R,L,0.8,0.73
33,ie1rsgqn,below,0.8,0.7,L,L,0.8,0.7
34,ie1rsgqn,below,0.8,0.71,L,L,0.8,0.71
35,ie1rsgqn,below,0.8,0.72,R,R,0.72,0.8
36,ie1rsgqn,below,0.8,0.73,R,R,0.73,0.8
37,ie1rsgqn,below,0.8,0.74,R,R,0.74,0.8
38,ie1rsgqn,below,0.8,0.75,L,L,0.8,0.75
39,ie1rsgqn,below,0.8,0.76,R,R,0.76,0.8
40,ie1rsgqn,below,0.8,0.77,R,R,0.77,0.8
41,ie1rsgqn,below,0.8,0.78,R,R,0.78,0.8
42,ie1rsgqn,below,0.8,0.79,L,L,0.8,0.79
43,ie1rsgqn,below,0.8,0.79,R,R,0.79,0.8
44,ie1rsgqn,below,0.8,0.79,R,R,0.79,0.8
45,ie1rsgqn,below,0.8,0.79,R,R,0.79,0.8
46,ie1rsgqn,below,0.8,0.79,R,R,0.79,0.8
47,ie1rsgqn,below,0.8,0.79,L,R,0.79,0.8
48,ie1rsgqn,below,0.8,0.76,R,R,0.76,0.8
49,ie1rsgqn,below,0.8,0.77,R,R,0.77,0.8
50,ie1rsgqn,below,0.8,0.78,L,L,0.8,0.78
1,ie1rr497,above,0.8,0.9,R,R,0.8,0.9
2,ie1rr497,above,0.8,0.89,L,L,0.89,0.8
3,ie1rr497,above,0.8,0.88,L,L,0.88,0.8
4,ie1rr497,above,0.8,0.87,R,R,0.8,0.87
5,ie1rr497,above,0.8,0.86,L,L,0.86,0.8
6,ie1rr497,above,0.8,0.85,R,R,0.8,0.85
7,ie1rr497,above,0.8,0.84,L,L,0.84,0.8
8,ie1rr497,above,0.8,0.83,R,R,0.8,0.83
9,ie1rr497,above,0.8,0.82,R,R,0.8,0.82
10,ie1rr497,above,0.8,0.81,R,L,0.81,0.8
11,ie1rr497,above,0.8,0.84,R,R,0.8,0.84
12,ie1rr497,above,0.8,0.83,L,L,0.83,0.8
13,ie1rr497,above,0.8,0.82,R,R,0.8,0.82
14,ie1rr497,above,0.8,0.81,L,L,0.81,0.8
15,ie1rr497,above,0.8,0.81,R,R,0.8,0.81
16,ie1rr497,above,0.8,0.81,R,R,0.8,0.81
17,ie1rr497,above,0.8,0.81,R,R,0.8,0.81
18,ie1rr497,above,0.8,0.81,L,L,0.81,0.8
19,ie1rr497,above,0.8,0.81,L,R,0.8,0.81
20,ie1rr497,above,0.8,0.84,R,R,0.8,0.84
21,ie1rr497,above,0.8,0.83,L,L,0.83,0.8
22,ie1rr497,above,0.8,0.82,L,L,0.82,0.8
23,ie1rr497,above,0.8,0.81,R,L,0.81,0.8
24,ie1rr497,above,0.8,0.84,R,R,0.8,0.84
25,ie1rr497,above,0.8,0.83,L,L,0.83,0.8
26,ie1rr497,above,0.8,0.82,L,R,0.8,0.82
27,ie1rr497,above,0.8,0.85,R,R,0.8,0.85
28,ie1rr497,above,0.8,0.84,R,R,0.8,0.84
29,ie1rr497,above,0.8,0.83,R,L,0.83,0.8
30,ie1rr497,above,0.8,0.86,L,L,0.86,0.8
